N° Exercice	N° Porte	Condition	Type de porte	Largeur de porte	Hauteur de porte	Reponse	Corpulence utilisateur			Corpulence docteur			Difference de corpulence			Temps de reponse
1	1	1	1	3.666667	15	1	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	1.507
1	2	1	1	2.5	16.66667	1	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.543
1	3	1	1	4.833333	15.41667	0	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.219
1	4	1	1	3.666667	15	1	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.216
1	5	1	1	3.666667	18.75	0	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.217
1	6	1	1	2.5	18.33333	1	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.109
1	7	1	1	3.666667	15.83333	1	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.545
1	8	1	1	4.833333	15.83333	1	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	1.439
1	9	1	1	3.666667	18.33333	1	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.338
1	10	1	1	2.5	18.33333	0	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.219
1	11	1	1	4.833333	18.33333	1	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.111
1	12	1	1	4.833333	17.5	1	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.215
1	13	1	1	4.833333	19.58333	0	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.216
1	14	1	1	3.666667	19.16667	1	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.109
1	15	1	1	4.833333	17.5	1	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.219
1	16	1	1	2.5	19.16667	0	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.217
1	17	1	1	2.5	18.75	1	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.109
1	18	1	1	3.666667	15.83333	1	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.11
